timestamp,temperature,humidity,pressure,wind_speed,solar_radiation,energy_consumption,cpu_usage,memory_usage,network_traffic
2023-01-01 00:00:00,20.99,52.95,993.13,12.45,0.0,88.95,10.35,59.36,9152.72
2023-01-01 01:00:00,22.6,52.49,999.57,1.95,411.12,66.2,77.1,72.99,5988.65
2023-01-01 02:00:00,22.05,81.38,1016.52,9.7,476.59,165.44,21.94,58.62,4518.41
2023-01-01 03:00:00,26.72,38.45,992.1,2.23,783.85,114.5,62.09,24.24,7583.53
2023-01-01 04:00:00,23.42,36.34,1005.08,11.09,920.28,188.84,63.79,40.38,6926.25
2023-01-01 05:00:00,23.94,63.49,1017.61,12.28,919.35,88.77,85.54,77.43,6114.57
2023-01-01 06:00:00,25.53,38.63,1004.54,6.17,808.67,68.1,92.83,41.2,111.99
2023-01-01 07:00:00,21.43,53.47,994.11,2.8,909.7,155.9,56.03,67.66,9312.14
2023-01-01 08:00:00,22.36,32.93,1014.12,11.65,897.45,176.81,50.53,38.29,4456.07
2023-01-01 09:00:00,21.78,79.11,1015.29,14.55,565.88,63.35,21.01,80.69,7548.85
2023-01-01 10:00:00,25.5,66.99,1005.69,10.22,477.42,159.69,28.54,41.46,3289.07
2023-01-01 11:00:00,21.51,60.43,1010.91,4.75,116.34,191.08,22.63,60.28,4332.25
2023-01-01 12:00:00,19.0,60.7,1025.76,21.49,11.09,80.4,40.51,65.45,6744.33
2023-01-01 13:00:00,16.5,67.06,994.32,15.16,0.0,182.31,49.62,36.07,3683.53
2023-01-01 14:00:00,16.4,85.87,1018.14,16.44,0.0,72.2,38.4,62.06,9883.68
2023-01-01 15:00:00,15.37,43.59,1017.69,4.9,0.0,110.79,52.72,26.3,4668.44
2023-01-01 16:00:00,15.76,36.95,1022.31,9.27,0.0,81.83,64.14,58.8,3395.1
2023-01-01 17:00:00,16.94,88.63,1014.22,23.13,0.0,171.02,46.12,56.93,6191.82
2023-01-01 18:00:00,15.55,60.15,1016.29,15.17,0.0,130.72,30.02,72.14,6106.73
2023-01-01 19:00:00,12.65,73.86,1018.16,13.01,0.0,98.79,63.37,27.89,5845.83
2023-01-01 20:00:00,17.29,72.05,1020.75,7.48,0.0,82.9,36.54,56.79,1275.26
2023-01-01 21:00:00,16.38,39.53,992.85,6.31,0.0,158.33,93.2,22.16,4073.66
2023-01-01 22:00:00,14.7,80.56,995.88,22.74,0.0,132.54,90.93,52.15,426.64
2023-01-01 23:00:00,17.95,31.36,1021.12,3.97,0.0,150.46,51.22,64.9,9918.97
2023-01-02 00:00:00,20.86,77.42,998.04,6.29,0.0,119.28,42.33,72.88,8162.27
